Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4251.03,"Census Tract 4251.03, Alameda County, California",6001425103,140,0,6,1,21,,425103,0
Census Tract 4251.04,"Census Tract 4251.04, Alameda County, California",6001425104,140,0,6,1,21,,425104,0
Census Tract 4261,"Census Tract 4261, Alameda County, California",6001426100,140,0,6,1,21,,426100,0
Census Tract 4262,"Census Tract 4262, Alameda County, California",6001426200,140,0,6,1,21,,426200,0
Census Tract 4271,"Census Tract 4271, Alameda County, California",6001427100,140,0,6,1,21,,427100,0
Census Tract 4272,"Census Tract 4272, Alameda County, California",6001427200,140,0,6,1,21,,427200,0
Census Tract 4273,"Census Tract 4273, Alameda County, California",6001427300,140,0,6,1,21,,427300,0
Census Tract 4276,"Census Tract 4276, Alameda County, California",6001427600,140,0,6,1,21,,427600,0
Census Tract 4277,"Census Tract 4277, Alameda County, California",6001427700,140,0,6,1,21,,427700,0
Census Tract 4278,"Census Tract 4278, Alameda County, California",6001427800,140,0,6,1,21,,427800,0
Census Tract 4279,"Census Tract 4279, Alameda County, California",6001427900,140,0,6,1,21,,427900,0
Census Tract 4280,"Census Tract 4280, Alameda County, California",6001428000,140,0,6,1,21,,428000,0
Census Tract 4281,"Census Tract 4281, Alameda County, California",6001428100,140,0,6,1,21,,428100,0
Census Tract 4282,"Census Tract 4282, Alameda County, California",6001428200,140,0,6,1,21,,428200,0
Census Tract 4283.01,"Census Tract 4283.01, Alameda County, California",6001428301,140,0,6,1,21,,428301,0
Census Tract 4283.02,"Census Tract 4283.02, Alameda County, California",6001428302,140,0,6,1,21,,428302,0
Census Tract 4284,"Census Tract 4284, Alameda County, California",6001428400,140,0,6,1,21,,428400,0
Census Tract 4285,"Census Tract 4285, Alameda County, California",6001428500,140,0,6,1,21,,428500,0
Census Tract 4286,"Census Tract 4286, Alameda County, California",6001428600,140,0,6,1,21,,428600,0
Census Tract 4287,"Census Tract 4287, Alameda County, California",6001428700,140,0,6,1,21,,428700,0
Census Tract 4301.01,"Census Tract 4301.01, Alameda County, California",6001430101,140,0,6,1,21,,430101,0
Census Tract 4301.02,"Census Tract 4301.02, Alameda County, California",6001430102,140,0,6,1,21,,430102,0
Census Tract 4302,"Census Tract 4302, Alameda County, California",6001430200,140,0,6,1,21,,430200,6
Census Tract 4303,"Census Tract 4303, Alameda County, California",6001430300,140,0,6,1,21,,430300,0
Census Tract 4304,"Census Tract 4304, Alameda County, California",6001430400,140,0,6,1,21,,430400,0
Census Tract 4305,"Census Tract 4305, Alameda County, California",6001430500,140,0,6,1,21,,430500,295
Census Tract 4306,"Census Tract 4306, Alameda County, California",6001430600,140,0,6,1,21,,430600,0
Census Tract 4307,"Census Tract 4307, Alameda County, California",6001430700,140,0,6,1,21,,430700,0
Census Tract 4308,"Census Tract 4308, Alameda County, California",6001430800,140,0,6,1,21,,430800,0
Census Tract 4309,"Census Tract 4309, Alameda County, California",6001430900,140,0,6,1,21,,430900,0
Census Tract 4310,"Census Tract 4310, Alameda County, California",6001431000,140,0,6,1,21,,431000,0
Census Tract 4311,"Census Tract 4311, Alameda County, California",6001431100,140,0,6,1,21,,431100,0
Census Tract 4312,"Census Tract 4312, Alameda County, California",6001431200,140,0,6,1,21,,431200,0
Census Tract 4321,"Census Tract 4321, Alameda County, California",6001432100,140,0,6,1,21,,432100,0
Census Tract 4322,"Census Tract 4322, Alameda County, California",6001432200,140,0,6,1,21,,432200,0
Census Tract 4323,"Census Tract 4323, Alameda County, California",6001432300,140,0,6,1,21,,432300,0
Census Tract 4324,"Census Tract 4324, Alameda County, California",6001432400,140,0,6,1,21,,432400,0
Census Tract 4325.01,"Census Tract 4325.01, Alameda County, California",6001432501,140,0,6,1,21,,432501,0
Census Tract 4325.02,"Census Tract 4325.02, Alameda County, California",6001432502,140,0,6,1,21,,432502,0
Census Tract 4326,"Census Tract 4326, Alameda County, California",6001432600,140,0,6,1,21,,432600,0
Census Tract 4327,"Census Tract 4327, Alameda County, California",6001432700,140,0,6,1,21,,432700,0
Census Tract 4328,"Census Tract 4328, Alameda County, California",6001432800,140,0,6,1,21,,432800,0
